date,n_contracts,front_carry,back_carry,inversion,hump_or_u_shape,material_slope_sign_changes,one_factor_shape_limitation
2024-03-04,4,0.23936101580953587,0.10224470857002178,True,False,0,False
2024-03-05,4,0.37779417486259,0.11251328529322402,True,False,0,False
2024-03-06,4,0.2509582479275661,0.10397871321054973,True,False,0,False
2024-03-07,4,0.21599852936024058,0.10152760359091685,True,False,0,False
2024-03-08,3,0.12302743156699356,0.10217952798892983,True,False,0,False
2024-03-11,3,0.10211978423763109,0.10034890483526014,True,True,1,True
2024-03-12,3,0.10002902718011995,0.09928383501273146,True,True,1,True
2024-03-13,3,0.10061106295243197,0.09826067483174891,True,True,1,True
2024-03-14,3,0.106037993440552,0.10131543821368239,True,True,1,True
2024-03-15,3,0.05886185619160853,0.089053031764028,False,True,1,True
2024-03-18,4,0.0305308206101707,0.08069543923963236,False,True,1,True
2024-03-19,4,0.06773873945202258,0.08694291716345912,False,True,1,True
2024-03-20,4,0.07917977608083009,0.08947528681648209,False,True,1,True
2024-03-21,4,0.08518818048482842,0.09021930358836544,False,True,1,True
2024-03-22,4,0.10413425837496185,0.09462028435963385,True,True,1,True
2024-03-25,4,0.09473982056272781,0.09855635498024046,False,True,1,True
2024-03-26,4,0.14542740756546133,0.10582539228931247,True,False,0,False
2024-03-27,4,0.16740669305830852,0.11324660053429247,True,False,0,False
2024-03-28,4,0.1200024790840392,0.10721323551060649,True,True,1,True
2024-03-29,4,0.11520259218944301,0.10473374471415133,True,True,2,True
2024-04-01,4,0.07794918628833247,0.09352826870662312,False,True,1,True
2024-04-02,4,0.11228008809745882,0.0971041121213068,True,True,2,True
2024-04-03,4,0.12926965041605665,0.10514153385449626,True,False,0,False
2024-04-08,4,0.2738806572359564,0.12261966473734012,True,False,0,False
2024-04-09,4,0.22279570586206515,0.11606682086031185,True,False,0,False
2024-04-10,4,0.25547438420655993,0.12137004946085206,True,False,0,False
2024-04-11,4,0.21188341604107047,0.12011750173230766,True,False,0,False
2024-04-12,3,0.19362570271531318,0.12698219024715227,True,False,0,False
2024-04-15,3,0.21461770450872342,0.1343583773039392,True,False,0,False
2024-04-16,3,0.20880492595159048,0.13055432910722334,True,False,0,False
2024-04-17,3,0.1494021323920468,0.11794679416546501,True,True,1,True
2024-04-18,3,0.14985408276311507,0.1146619473621322,True,False,0,False
2024-04-19,3,0.21328530076047697,0.12636618976728894,True,False,0,False
2024-04-22,4,0.18025503586196648,0.10459603442315468,True,False,0,False
2024-04-23,4,0.22302730012158392,0.1094450410781749,True,False,0,False
2024-04-24,4,0.11351156584456862,0.09532678193846145,True,True,1,True
2024-04-25,4,0.13726958261746078,0.09763513118109694,True,True,1,True
2024-04-26,4,0.04156810920818517,0.08365634276333969,False,True,1,True
2024-04-29,4,-0.0330120094908523,0.07224086569029582,False,False,0,False
2024-04-30,4,0.03367020505184548,0.07465767429724823,False,True,1,True
2024-05-06,4,0.0945897563551835,0.07435744233856231,True,False,0,False
2024-05-07,4,0.11466625140915426,0.08022256677867871,True,False,0,False
2024-05-08,4,0.12030112712795306,0.08656603287960223,True,True,1,True
2024-05-09,4,0.08507013879921817,0.08009166847651301,True,True,1,True
2024-05-10,3,0.12129375347532087,0.08525865737231243,True,False,0,False
2024-05-13,3,0.1364022116493195,0.09029356775558747,True,False,0,False
2024-05-14,3,0.14793853676865193,0.09100104009066982,True,False,0,False
2024-05-15,3,0.1398635327677956,0.09029299288417113,True,False,0,False
2024-05-16,3,0.1463785029986002,0.0905216203530118,True,False,0,False
2024-05-17,3,0.07454324565249662,0.07639143650136794,False,True,1,True
2024-05-20,4,0.12370250972373491,0.083438430658357,True,False,0,False
2024-05-21,4,0.13473335348608892,0.08696508255451559,True,False,0,False
2024-05-22,4,0.14065948720310117,0.08663869464632012,True,False,0,False
2024-05-23,4,0.1359214619649279,0.08671448709300954,True,False,0,False
2024-05-24,4,0.1561813358345522,0.08954054707173481,True,False,0,False
2024-05-27,4,0.18770870485170255,0.09462067749457796,True,False,0,False
2024-05-28,4,0.20046474217772445,0.0999792908658577,True,False,0,False
2024-05-29,4,0.20686927481016637,0.10075908966215058,True,False,0,False
2024-05-30,4,0.14533797993351158,0.09390279500155127,True,False,0,False
2024-05-31,4,0.14863696007041244,0.09177056590594529,True,False,0,False
2024-06-03,4,0.2363103838027112,0.10366656844780699,True,False,0,False
2024-06-04,4,0.18734622184522637,0.09899871508747356,True,False,0,False
