date,open,high,low,close,volume,hold,settle,contract,expiry,expiry_source
2023-11-22,6145.0,6195.0,6090.4,6093.0,46938,128145,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-23,6090.2,6179.8,6067.2,6176.6,56528,126506,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-24,6163.0,6165.6,6059.2,6081.0,51088,123812,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-27,6074.2,6103.2,6034.4,6081.2,48025,121213,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-28,6070.6,6114.2,6016.8,6097.2,49335,120191,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-29,6093.8,6109.6,6053.0,6074.6,38673,114482,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-30,6065.0,6074.8,5988.2,6036.0,51825,118665,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-01,6036.0,6110.8,6010.6,6092.2,55283,114392,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-04,6100.0,6109.8,6057.4,6058.6,44645,108833,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-05,6050.2,6050.2,5945.2,5958.2,50053,105484,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-06,5938.0,6047.0,5930.6,5997.8,52974,102545,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-07,5985.0,6040.0,5946.0,6014.2,59078,96530,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-08,6025.2,6065.0,5996.0,6000.8,51721,84179,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-11,5973.0,6096.0,5935.2,6070.6,60774,75330,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-12,6070.0,6086.0,6048.4,6079.0,45958,55716,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-13,6062.2,6078.6,6013.4,6022.6,39656,40034,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-14,6041.2,6082.0,5991.0,6000.0,35203,23013,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-12-15,6010.0,6034.8,5952.2,5956.2,20199,9446,0.0,IM2312,2023-12-15,contract_code_cffex_rule
2023-11-20,6146.0,6190.8,6092.0,6181.4,1809,1690,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-11-21,6196.8,6208.4,6124.4,6137.0,2717,2444,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-11-22,6118.2,6171.2,6065.6,6068.6,4976,4623,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-11-23,6070.6,6156.0,6043.0,6154.2,4585,5701,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-11-24,6142.0,6146.0,6029.2,6053.8,4818,7015,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-11-27,6056.4,6074.0,6004.0,6048.2,4564,7092,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-11-28,6043.4,6082.4,5986.6,6065.8,4044,8110,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-11-29,6073.8,6078.6,6020.2,6042.0,3477,8613,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-11-30,6028.4,6043.2,5955.8,6004.8,4483,10068,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-01,5991.8,6075.8,5979.6,6058.4,5305,11682,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-04,6058.2,6072.0,6015.4,6019.2,6883,14156,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-05,6011.4,6011.4,5899.0,5910.0,8328,17208,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-06,5883.2,5995.4,5881.0,5952.0,9048,20141,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-07,5954.0,6006.6,5897.6,5975.0,12370,25063,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-08,5975.4,6029.8,5962.2,5970.6,12053,28394,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-11,5940.0,6058.2,5898.6,6035.8,17241,36373,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-12,6030.0,6050.6,6015.0,6045.0,17971,44171,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-13,6035.0,6045.0,5973.0,5982.0,22320,53283,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-14,6010.0,6043.6,5945.2,5956.0,34830,69594,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-15,5980.0,5994.8,5876.4,5903.0,49446,81211,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-18,5891.0,5906.4,5807.4,5831.6,41552,77772,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-19,5826.0,5868.0,5800.4,5838.0,42896,80418,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-20,5846.0,5860.8,5741.0,5745.0,41766,78823,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-21,5721.6,5799.2,5665.2,5770.2,57907,85262,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-22,5756.2,5797.6,5697.0,5722.8,56485,83263,0.0,IM2401,2024-01-19,contract_code_cffex_rule
